run,observed_mean_delta,null_mean,null_std,p_one_sided,n_shuffles
iNat × oneliners,0.0003783859428949654,-2.2259663505757032e-05,8.428988219723431e-05,0.0,200
iNat × abstracts,0.0005641899188049138,3.080068641942546e-05,7.009569660116054e-05,0.0,200
YFCC FILTERED × oneliners,0.0009109602542594075,0.00011660753741409734,0.00014045564788578752,0.0,200
YFCC FILTERED × abstracts,0.000820448505692184,6.431219067337679e-05,0.00010034825916001044,0.0,200
