taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,20,78,469,-0.00033794716000556946,0.685
Amphibia,Deserts & Xeric Shrublands,34,20,527,0.0008608493953943253,0.214
Amphibia,"Mediterranean Forests, Woodlands & Scrub",27,21,526,-0.0002810959704220295,0.598
Amphibia,Montane Grasslands & Shrublands,11,5,542,-0.0034826863557100296,0.918
Amphibia,Temperate Broadleaf & Mixed Forests,87,154,393,0.0006378097459673882,0.1
Amphibia,Temperate Conifer Forests,59,53,494,0.0011099930852651596,0.06
Amphibia,"Temperate Grasslands, Savannas & Shrublands",37,43,504,-8.871499449014664e-05,0.555
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,542,-0.000370158813893795,0.519
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",103,82,465,0.0007048198021948338,0.147
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,460,196,351,-0.0002623302862048149,0.693
Amphibia,Tundra,6,43,504,-0.0001208039466291666,0.54
Actinopterygii,Boreal Forests/Taiga,55,78,469,0.0003048153594136238,0.352
Actinopterygii,Deserts & Xeric Shrublands,71,20,527,0.0014678780571557581,0.192
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,21,526,0.0007016452727839351,0.304
Actinopterygii,Temperate Broadleaf & Mixed Forests,43,154,393,0.0005664352793246508,0.21
Actinopterygii,Temperate Conifer Forests,27,53,494,0.00041592174966353923,0.353
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",28,43,504,0.00021711550652980804,0.428
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",84,82,465,0.001471004739869386,0.051
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,1009,196,351,0.000627994304522872,0.183
Actinopterygii,Tundra,25,43,504,-2.6599038392305374e-05,0.474
Insecta,Boreal Forests/Taiga,344,78,469,3.679306246340275e-05,0.464
Insecta,Deserts & Xeric Shrublands,464,20,527,0.0007824676249583717,0.112
Insecta,"Mediterranean Forests, Woodlands & Scrub",376,21,526,-0.0005982982693240047,0.785
Insecta,Montane Grasslands & Shrublands,254,5,542,-0.0020148647017776966,0.886
Insecta,Temperate Broadleaf & Mixed Forests,1382,154,393,0.0007068105041980743,0.025
Insecta,Temperate Conifer Forests,484,53,494,-0.0006205812096595764,0.916
Insecta,"Temperate Grasslands, Savannas & Shrublands",633,43,504,-0.00042608752846717834,0.79
Insecta,Tropical & Subtropical Coniferous Forests,271,5,542,-0.00012765615247189999,0.486
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",874,82,465,-0.00025323755107820034,0.678
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3973,196,351,5.0583621487021446e-05,0.436
Insecta,Tundra,81,43,504,6.759492680430412e-05,0.46
Arachnida,Boreal Forests/Taiga,14,78,469,-0.0005078186513856053,0.766
Arachnida,Deserts & Xeric Shrublands,55,20,527,0.00010442244820296764,0.478
Arachnida,"Mediterranean Forests, Woodlands & Scrub",39,21,526,-6.0464226407930255e-05,0.525
Arachnida,Temperate Broadleaf & Mixed Forests,100,154,393,0.0003868131898343563,0.243
Arachnida,Temperate Conifer Forests,23,53,494,1.2403354048728943e-05,0.511
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,43,504,-0.0014954707585275173,0.95
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,542,0.0007797772996127605,0.38
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,82,465,0.0007469886913895607,0.144
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,345,196,351,0.0005433103069663048,0.152
Mollusca,Boreal Forests/Taiga,10,78,469,7.016491144895554e-05,0.452
Mollusca,Deserts & Xeric Shrublands,25,20,527,0.0012165689840912819,0.13
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,21,526,-0.0007237782701849937,0.796
Mollusca,Temperate Broadleaf & Mixed Forests,52,154,393,0.00021598394960165024,0.315
Mollusca,Temperate Conifer Forests,70,53,494,-0.0002902848646044731,0.644
Mollusca,"Temperate Grasslands, Savannas & Shrublands",19,43,504,0.0005577036645263433,0.231
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.00013191974721848965,0.424
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,250,196,351,0.0005465353024192154,0.132
Mollusca,Tundra,9,43,504,0.0003895158879458904,0.352
