subset,n_traditions,n_motifs,mantel_r_env,mantel_r_geo,partial_r_env|geo,p_env|geo,partial_r_geo|env,p_geo|env
ALL motifs,921,2138,0.1851347456540533,0.3564006234046293,0.14998833718115323,0.002,0.3411366378146503,0.002
PAREIDOLIC motifs,820,299,0.1624071049540298,0.21619063448568324,0.13834215590839602,0.002,0.19912870171014704,0.002
NON-pareidolic motifs,913,1839,0.16504146629386912,0.3683565483382474,0.12669443670313055,0.002,0.35460758873809156,0.002
