motif_set,analog,control,lift_pct,p_value
perceptual (curated),0.07166934487363381,0.06652842231309693,7.7274078984507,0.004799040191961607
non-perceptual,0.03030892035452454,0.02843503202005922,6.590069366348539,0.0001999600079984003
