null,obs,null_mean,n_sig,n_sig_fdr,n
species,0.41279761145623134,0.1986129725046339,7,7,14
ethnonym,0.4166954313404858,0.2829111139310823,7,7,14
place,0.416237287156816,0.2669023264960353,7,7,14
joint,0.41324374199445757,0.2823810518561264,7,6,14
