channel,mu,ci_lo,ci_hi,n_sig,n
full,0.4162373765471524,0.2671339362547899,0.5893207357335736,10,14
species,0.9704942390921393,0.6221139780661491,1.3425422687890072,13,14
place,0.3567710051096843,0.267011733974089,0.4659343386135463,14,14
ethnonym,0.7332524317981941,0.5394099690810046,0.9543834026512091,14,14
