null,obs,null_mean,n_sig,n
species,0.47108783785781083,0.17835981320547542,11,14
place,0.4727456939040816,0.3406032714410685,7,14
ethnonym,0.4728235424928633,0.3086722102769792,10,14
joint,0.4711948983770396,0.31928474777981,11,14
