bin,lo,method,n_motifs,mu,ci_lo,ci_hi
SpecA,1,raw,547,0.9389641927555203,0.5052971391705796,1.3736238557612521
SpecA,1,proj,547,0.5916673108004034,0.3791399722103961,0.821059293230064
Semi,4,raw,1120,0.42053061770275235,0.25086871901294217,0.6065535402740351
Semi,4,proj,1120,0.19471882842481136,0.10694523862184724,0.27089113500551315
Universal,10,raw,425,0.26052884641103446,0.12458313867682591,0.3897296395734884
Universal,10,proj,425,0.06477943679783493,-0.02959971598102129,0.15690379586885683
