alpha,r2_identity,resid_matched,resid_simple,n
10.0,0.022182568140956982,6,9,14
100.0,0.003678620387601028,6,10,14
1000.0,-0.0003592158514200694,6,11,14
10000.0,-0.0008174603659205637,6,11,14
