taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
all,Boreal Forests/Taiga,2587,49,388,0.0011506913579069078,0.055
all,Deserts & Xeric Shrublands,3611,16,421,0.0017558197723701596,0.003
all,"Mediterranean Forests, Woodlands & Scrub",1863,16,421,0.0010518578346818686,0.077
all,Montane Grasslands & Shrublands,1402,5,432,0.0016221788246184587,0.109
all,Temperate Broadleaf & Mixed Forests,5166,116,321,0.0008880820241756737,0.003
all,Temperate Conifer Forests,3334,45,392,0.0005373675376176834,0.198
all,"Temperate Grasslands, Savannas & Shrublands",2954,33,404,0.0006265664851525798,0.07
all,Tropical & Subtropical Coniferous Forests,1085,5,432,-0.00032573752105236053,0.622
all,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,67,370,0.0010291467187926173,0.024
all,Tropical & Subtropical Moist Broadleaf Forests,13907,166,271,0.0012855110689997673,0.0
all,Tundra,1965,27,410,0.0001328967628069222,0.463
Plantae,Boreal Forests/Taiga,1545,49,388,0.00015546451322734356,0.459
Plantae,Deserts & Xeric Shrublands,1250,16,421,0.002446528058499098,0.139
Plantae,"Mediterranean Forests, Woodlands & Scrub",827,16,421,0.0017948546446859837,0.228
Plantae,Montane Grasslands & Shrublands,526,5,432,-0.0007549929432570934,0.569
Plantae,Temperate Broadleaf & Mixed Forests,2135,116,321,0.002675275783985853,0.001
Plantae,Temperate Conifer Forests,1821,45,392,-4.9192458391189575e-05,0.513
Plantae,"Temperate Grasslands, Savannas & Shrublands",1172,33,404,0.0007958938367664814,0.293
Plantae,Tropical & Subtropical Coniferous Forests,369,5,432,0.002683906350284815,0.243
Plantae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1057,67,370,0.000257816631346941,0.415
Plantae,Tropical & Subtropical Moist Broadleaf Forests,2758,166,271,0.001704496331512928,0.036
Plantae,Tundra,1248,27,410,-0.0035819809418171644,0.976
Fungi,Boreal Forests/Taiga,77,49,388,0.00073711370350793,0.308
Fungi,Deserts & Xeric Shrublands,8,16,421,-6.701215170323849e-06,0.486
Fungi,"Mediterranean Forests, Woodlands & Scrub",47,16,421,0.0010273393709212542,0.326
Fungi,Temperate Broadleaf & Mixed Forests,186,116,321,0.0017411250155419111,0.045
Fungi,Temperate Conifer Forests,160,45,392,0.00041479989886283875,0.384
Fungi,"Temperate Grasslands, Savannas & Shrublands",36,33,404,0.003079925896599889,0.043
Fungi,Tropical & Subtropical Coniferous Forests,26,5,432,0.0012498600408434868,0.368
Fungi,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,67,370,-0.0005220263265073299,0.641
Fungi,Tropical & Subtropical Moist Broadleaf Forests,93,166,271,0.0019005914218723774,0.031
Fungi,Tundra,62,27,410,-0.0026217992417514324,0.895
Animalia,Boreal Forests/Taiga,10,49,388,0.003380283946171403,0.027
Animalia,Deserts & Xeric Shrublands,19,16,421,0.0013929227134212852,0.274
Animalia,"Mediterranean Forests, Woodlands & Scrub",31,16,421,-0.0003593270666897297,0.556
Animalia,Temperate Broadleaf & Mixed Forests,30,116,321,0.0001793382689356804,0.441
Animalia,Temperate Conifer Forests,91,45,392,-0.0004254709929227829,0.595
Animalia,"Temperate Grasslands, Savannas & Shrublands",10,33,404,0.0006955275312066078,0.38
Animalia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20,67,370,-0.0009837592951953411,0.731
Animalia,Tropical & Subtropical Moist Broadleaf Forests,380,166,271,0.001676924410276115,0.082
Animalia,Tundra,19,27,410,0.0025897647137753665,0.157
Mammalia,Boreal Forests/Taiga,115,49,388,0.003046005964279175,0.018
Mammalia,Deserts & Xeric Shrublands,178,16,421,0.0011985735036432743,0.328
Mammalia,"Mediterranean Forests, Woodlands & Scrub",47,16,421,0.0006635612808167934,0.384
Mammalia,Montane Grasslands & Shrublands,113,5,432,0.002363099716603756,0.291
