taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,20,78,469,0.0023633516393601894,0.075
Amphibia,Deserts & Xeric Shrublands,34,20,527,-0.0025444873608648777,0.751
Amphibia,"Mediterranean Forests, Woodlands & Scrub",27,21,526,-0.002904255874454975,0.818
Amphibia,Montane Grasslands & Shrublands,11,5,542,0.001651783473789692,0.413
Amphibia,Temperate Broadleaf & Mixed Forests,87,154,393,-0.0029936134815216064,0.985
Amphibia,Temperate Conifer Forests,59,53,494,-0.0033912090584635735,0.947
Amphibia,"Temperate Grasslands, Savannas & Shrublands",37,43,504,0.0008689714595675468,0.363
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,542,-0.002578312298282981,0.643
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",103,82,465,0.003597024828195572,0.029
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,460,196,351,0.00570629071444273,0.0
Amphibia,Tundra,6,43,504,0.0032069177250377834,0.123
Actinopterygii,Boreal Forests/Taiga,55,78,469,0.010398679180070758,0.0
Actinopterygii,Deserts & Xeric Shrublands,71,20,527,-0.001307937316596508,0.623
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,21,526,-0.003130047582089901,0.769
Actinopterygii,Temperate Broadleaf & Mixed Forests,43,154,393,-0.0009328988380730152,0.698
Actinopterygii,Temperate Conifer Forests,27,53,494,0.0008981544524431229,0.347
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",28,43,504,-0.00013443827629089355,0.497
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",84,82,465,0.0009332431945949793,0.334
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,1009,196,351,0.0012321742251515388,0.191
Actinopterygii,Tundra,25,43,504,0.007553295232355595,0.005
Insecta,Boreal Forests/Taiga,344,78,469,0.0002819206565618515,0.367
Insecta,Deserts & Xeric Shrublands,464,20,527,0.002428249688819051,0.105
Insecta,"Mediterranean Forests, Woodlands & Scrub",376,21,526,0.0004802828188985586,0.354
Insecta,Montane Grasslands & Shrublands,254,5,542,-0.004699533223174512,0.887
Insecta,Temperate Broadleaf & Mixed Forests,1382,154,393,0.000403669779188931,0.311
Insecta,Temperate Conifer Forests,484,53,494,-0.0017755181761458516,0.951
Insecta,"Temperate Grasslands, Savannas & Shrublands",633,43,504,0.0005780315259471536,0.327
Insecta,Tropical & Subtropical Coniferous Forests,271,5,542,-0.002760255942121148,0.781
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",874,82,465,0.0014335715677589178,0.075
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3973,196,351,0.0014789763372391462,0.034
Insecta,Tundra,81,43,504,0.0013222616398707032,0.173
Arachnida,Boreal Forests/Taiga,14,78,469,-0.0030282759107649326,0.98
Arachnida,Deserts & Xeric Shrublands,55,20,527,0.0018231305293738842,0.274
Arachnida,"Mediterranean Forests, Woodlands & Scrub",39,21,526,0.001480469130910933,0.282
Arachnida,Temperate Broadleaf & Mixed Forests,100,154,393,-0.00043566804379224777,0.647
Arachnida,Temperate Conifer Forests,23,53,494,-0.002598340332042426,0.906
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,43,504,0.0028852230243501253,0.07
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,542,0.0045302206635824405,0.223
