biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided,class_group,n_motifs_in_subset,image_source
Tropical & Subtropical Moist Broadleaf Forests,60,43,86,0.0020762565545737743,0.04,ANTHROPOMORPHIC,480,Places365
Tundra,60,13,116,0.0018939587607746944,0.084,ANTHROPOMORPHIC,480,Places365
Deserts & Xeric Shrublands,60,6,123,0.0018236738214909565,0.207,ANTHROPOMORPHIC,480,Places365
"Temperate Grasslands, Savannas & Shrublands",60,11,118,-0.00011247879592701793,0.557,ANTHROPOMORPHIC,480,Places365
"Mediterranean Forests, Woodlands & Scrub",60,6,139,0.006232185987755656,0.002,METAMORPHOSIS,419,Places365
Deserts & Xeric Shrublands,60,6,139,0.0038198104593902826,0.053,METAMORPHOSIS,419,Places365
Tropical & Subtropical Moist Broadleaf Forests,60,63,82,0.0003168359398841858,0.407,METAMORPHOSIS,419,Places365
Temperate Broadleaf & Mixed Forests,60,38,107,-0.0009540744649711996,0.843,METAMORPHOSIS,419,Places365
"Temperate Grasslands, Savannas & Shrublands",60,13,132,-0.0024153979029506445,0.989,METAMORPHOSIS,419,Places365
Tropical & Subtropical Moist Broadleaf Forests,60,16,9,0.0028863856568932533,0.139,NATURE_SPIRIT,103,Places365
Temperate Broadleaf & Mixed Forests,60,5,20,0.002177553018555045,0.163,NATURE_SPIRIT,103,Places365
