taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,20,78,469,-6.10684510320425e-05,0.49
Amphibia,Deserts & Xeric Shrublands,34,20,527,-0.004674932453781366,0.892
Amphibia,"Mediterranean Forests, Woodlands & Scrub",27,21,526,-0.0026762965135276318,0.784
Amphibia,Montane Grasslands & Shrublands,11,5,542,-0.0026132550556212664,0.615
Amphibia,Temperate Broadleaf & Mixed Forests,87,154,393,-0.0028936073649674654,0.982
Amphibia,Temperate Conifer Forests,59,53,494,-0.004748409090097994,0.991
Amphibia,"Temperate Grasslands, Savannas & Shrublands",37,43,504,-0.0016465254593640566,0.755
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,542,-0.00313488463871181,0.696
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",103,82,465,0.0029740070458501577,0.058
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,460,196,351,0.008144835010170937,0.0
Amphibia,Tundra,6,43,504,-0.00029406044632196426,0.531
Actinopterygii,Boreal Forests/Taiga,55,78,469,0.00839600176550448,0.0
Actinopterygii,Deserts & Xeric Shrublands,71,20,527,-0.003942806273698807,0.824
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,21,526,-0.000897732563316822,0.558
Actinopterygii,Temperate Broadleaf & Mixed Forests,43,154,393,-0.002317383885383606,0.9
Actinopterygii,Temperate Conifer Forests,27,53,494,-0.0008774506859481335,0.607
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",28,43,504,-0.004212052561342716,0.915
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",84,82,465,0.00347515766043216,0.052
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,1009,196,351,0.0015205005183815956,0.162
Actinopterygii,Tundra,25,43,504,0.006617197883315384,0.022
Insecta,Boreal Forests/Taiga,344,78,469,0.0006915698759257793,0.229
Insecta,Deserts & Xeric Shrublands,464,20,527,0.0010288222692906857,0.262
Insecta,"Mediterranean Forests, Woodlands & Scrub",376,21,526,0.0005941691342741251,0.322
