biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
"Mediterranean Forests, Woodlands & Scrub",60,16,421,0.005487467162311077,0.0
Tropical & Subtropical Moist Broadleaf Forests,60,166,271,0.003019857220351696,0.0
Deserts & Xeric Shrublands,60,16,421,0.0020386165706440806,0.064
Tundra,60,27,410,0.0019294988014735281,0.016
"Temperate Grasslands, Savannas & Shrublands",60,33,404,0.00032055802876129746,0.337
Temperate Broadleaf & Mixed Forests,60,116,321,-9.798468090593815e-05,0.584
Montane Grasslands & Shrublands,60,5,432,-0.00036600464954972267,0.59
