biome,taxon_group,delta,p_one_sided,n_imgs,n_mot
"Temperate Grasslands, Savannas & Shrublands",Reptilia,0.0001550242304801941,0.314,95,1284
"Temperate Grasslands, Savannas & Shrublands",Amphibia,-0.00030951667577028275,0.85,35,1284
"Temperate Grasslands, Savannas & Shrublands",Actinopterygii,-3.8020312786102295e-05,0.542,14,1284
"Temperate Grasslands, Savannas & Shrublands",Insecta,4.41625015810132e-05,0.366,590,1284
"Temperate Grasslands, Savannas & Shrublands",Arachnida,0.0002977281983476132,0.09,47,1284
"Temperate Grasslands, Savannas & Shrublands",Mollusca,4.02769073843956e-05,0.444,16,1284
Tropical & Subtropical Coniferous Forests,all,4.2346015106886625e-05,0.285,1085,466
Tropical & Subtropical Coniferous Forests,Plantae,0.0005532687064260244,0.099,369,466
Tropical & Subtropical Coniferous Forests,Fungi,0.00012091360986232758,0.367,26,466
Tropical & Subtropical Coniferous Forests,Mammalia,-0.0006629554554820061,0.904,25,466
Tropical & Subtropical Coniferous Forests,Aves,-0.0004583874251693487,0.977,334,466
Tropical & Subtropical Coniferous Forests,Reptilia,-0.0004013301804661751,0.837,41,466
Tropical & Subtropical Coniferous Forests,Amphibia,0.00038865406531840563,0.119,11,466
Tropical & Subtropical Coniferous Forests,Insecta,8.405791595578194e-05,0.328,265,466
Tropical & Subtropical Coniferous Forests,Arachnida,-0.00025268481113016605,0.835,11,466
Tropical & Subtropical Dry Broadleaf Forests,all,0.00018720468506217003,0.004,2048,750
Tropical & Subtropical Dry Broadleaf Forests,Plantae,0.0012162037892267108,0.002,449,750
Tropical & Subtropical Dry Broadleaf Forests,Animalia,-0.000260877946857363,0.807,27,750
Tropical & Subtropical Dry Broadleaf Forests,Mammalia,-0.00031244009733200073,0.741,89,750
Tropical & Subtropical Dry Broadleaf Forests,Aves,-0.0002595286350697279,0.896,588,750
Tropical & Subtropical Dry Broadleaf Forests,Reptilia,-0.0003152070567011833,0.805,118,750
Tropical & Subtropical Dry Broadleaf Forests,Amphibia,-0.0003528464585542679,0.851,46,750
Tropical & Subtropical Dry Broadleaf Forests,Actinopterygii,-3.246776759624481e-05,0.553,78,750
Tropical & Subtropical Dry Broadleaf Forests,Insecta,0.0001705731265246868,0.136,579,750
Tropical & Subtropical Dry Broadleaf Forests,Arachnida,-0.0005071880295872688,0.993,41,750
Tropical & Subtropical Dry Broadleaf Forests,Mollusca,-1.7545185983181e-05,0.531,25,750
"Tropical & Subtropical Grasslands, Savannas & Shrublands",all,0.00026732636615633965,0.018,5333,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Plantae,0.0010216868249699473,0.002,1050,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Fungi,0.0008847089484333992,0.001,23,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Animalia,-0.0003973522689193487,0.899,14,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Mammalia,0.0009310850873589516,0.028,602,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Aves,-0.00013014208525419235,0.732,2287,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Reptilia,0.0003288760781288147,0.181,328,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Amphibia,0.0008944566361606121,0.004,102,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Actinopterygii,-0.0004895166493952274,0.932,36,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Insecta,-6.287219002842903e-05,0.672,808,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Arachnida,-0.0007456957828253508,1.0,68,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Mollusca,-0.00031717238016426563,0.881,15,955
Tropical & Subtropical Moist Broadleaf Forests,all,0.0003366905730217695,0.0,12376,1397
Tropical & Subtropical Moist Broadleaf Forests,Plantae,0.0022967897821217775,0.0,2567,1397
Tropical & Subtropical Moist Broadleaf Forests,Fungi,0.0015714457258582115,0.0,90,1397
Tropical & Subtropical Moist Broadleaf Forests,Animalia,-8.046429138630629e-05,0.607,144,1397
Tropical & Subtropical Moist Broadleaf Forests,Mammalia,-0.0003127800300717354,0.75,569,1397
