taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,19,49,387,-0.0003849412314593792,0.564
Amphibia,Deserts & Xeric Shrublands,33,16,420,0.0012527203653007746,0.325
Amphibia,"Mediterranean Forests, Woodlands & Scrub",26,16,420,-0.004520993330515921,0.963
Amphibia,Montane Grasslands & Shrublands,11,5,431,-0.0047694017412140965,0.841
Amphibia,Temperate Broadleaf & Mixed Forests,83,116,320,-0.002054749056696892,0.956
Amphibia,Temperate Conifer Forests,57,45,391,-0.0029514468405977823,0.949
Amphibia,"Temperate Grasslands, Savannas & Shrublands",36,33,403,-0.0028628245927393436,0.944
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,431,-0.001401380286552012,0.575
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",102,67,369,0.0011771274730563164,0.238
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,451,165,271,0.0038112448528409004,0.0
Amphibia,Tundra,6,27,409,0.003001260571181774,0.146
Actinopterygii,Boreal Forests/Taiga,31,49,387,0.0054725781083106995,0.019
Actinopterygii,Deserts & Xeric Shrublands,50,16,420,-0.0014933501370251179,0.596
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,16,420,-0.0077346040634438396,0.954
Actinopterygii,Temperate Broadleaf & Mixed Forests,19,116,320,-0.0023229424841701984,0.929
Actinopterygii,Temperate Conifer Forests,18,45,391,0.0014750624541193247,0.246
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",14,33,403,-0.005336046720913146,0.977
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",49,67,369,0.0012324084527790546,0.254
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,918,165,271,0.00042184581980109215,0.394
Actinopterygii,Tundra,12,27,409,0.008010560646653175,0.014
Insecta,Boreal Forests/Taiga,298,49,387,0.0016334634274244308,0.066
Insecta,Deserts & Xeric Shrublands,440,16,420,-0.0013351412490010262,0.757
Insecta,"Mediterranean Forests, Woodlands & Scrub",361,16,420,-0.0021331750322133303,0.907
Insecta,Montane Grasslands & Shrublands,232,5,431,-0.0009560161270201206,0.57
Insecta,Temperate Broadleaf & Mixed Forests,1324,116,320,-2.5432324036955833e-05,0.526
Insecta,Temperate Conifer Forests,456,45,391,0.00019653822528198361,0.408
Insecta,"Temperate Grasslands, Savannas & Shrublands",592,33,403,-0.0021785461576655507,0.97
Insecta,Tropical & Subtropical Coniferous Forests,265,5,431,-7.201556582003832e-05,0.451
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",810,67,369,-0.0001963155809789896,0.564
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3741,165,271,0.0013563066022470593,0.024
Insecta,Tundra,79,27,409,0.000495025422424078,0.376
Arachnida,Boreal Forests/Taiga,13,49,387,4.024244844913483e-05,0.469
Arachnida,Deserts & Xeric Shrublands,54,16,420,-0.002921642968431115,0.877
Arachnida,"Mediterranean Forests, Woodlands & Scrub",38,16,420,-0.002302082604728639,0.813
Arachnida,Temperate Broadleaf & Mixed Forests,97,116,320,-0.00031293858774006367,0.616
Arachnida,Temperate Conifer Forests,22,45,391,-0.002658165292814374,0.943
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,33,403,-0.002518740249797702,0.936
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,431,-0.0005854523915331811,0.515
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,67,369,-0.0009446588810533285,0.748
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,340,165,271,0.003516018856316805,0.0
Mollusca,Boreal Forests/Taiga,10,49,387,0.0009010350331664085,0.332
Mollusca,Deserts & Xeric Shrublands,24,16,420,-0.0021960330195724964,0.773
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,16,420,-0.0030822104308754206,0.873
Mollusca,Temperate Broadleaf & Mixed Forests,49,116,320,-0.00014261167962104082,0.559
Mollusca,Temperate Conifer Forests,67,45,391,-0.000899741891771555,0.704
Mollusca,"Temperate Grasslands, Savannas & Shrublands",18,33,403,-0.000930073409108445,0.707
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,67,369,-0.0012146886219852604,0.775
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,230,165,271,0.0016992497257888317,0.104
Mollusca,Tundra,9,27,409,0.0031129904091358185,0.124
