motif_id,n_biomes_assigned,z_true,z_threshold_95,keep_in_filtered
b104a,2,-0.5811189794419707,2.828476905822754,True
a22b,3,1.1111311269932813,2.828476905822754,True
a5a,1,-1.5364025638266883,2.828476905822754,True
a39,3,0.4922505331846884,2.828476905822754,True
a32i,3,1.390558179673381,2.828476905822754,True
a9,3,1.259813581379266,2.828476905822754,True
a30,3,1.5406342056591038,2.828476905822754,True
b104,2,-0.6540474808597385,2.828476905822754,True
a8,3,1.3007183295074185,2.828476905822754,True
a24a,3,0.39982021092382725,2.828476905822754,True
a35b,3,-0.6300364745400485,2.828476905822754,True
a32j,3,-3.7725241689232063,2.828476905822754,True
b107,1,-1.0045299480329268,2.828476905822754,True
b115a,3,0.8511698430003007,2.828476905822754,True
a10,3,1.248171106589481,2.828476905822754,True
b109a,2,0.4471852136708635,2.828476905822754,True
a32d1,3,-0.49372393514812446,2.828476905822754,True
b112,3,2.577074649898968,2.828476905822754,True
b113,1,0.4601587319702001,2.828476905822754,True
b101,3,0.9722024440296398,2.828476905822754,True
b108,1,0.13192272760021895,2.828476905822754,True
a26,1,0.5681362867471077,2.828476905822754,True
a29a,3,1.3025602138566856,2.828476905822754,True
b110a,2,0.5472420757217157,2.828476905822754,True
b118,1,0.5219303558091806,2.828476905822754,True
b103,3,0.33643065606893086,2.828476905822754,True
b20,3,1.5540254192024883,2.828476905822754,True
b11a,3,-1.0648860458028464,2.828476905822754,True
b28c,2,-1.9507960384880418,2.828476905822754,True
a47,3,-0.999381733278123,2.828476905822754,True
b24a,2,0.7848977406435959,2.828476905822754,True
b21,3,1.4748202308122222,2.828476905822754,True
a8a,2,-0.6916102416661891,2.828476905822754,True
b22a,1,1.5428061123719758,2.828476905822754,True
b24,2,1.588935064060778,2.828476905822754,True
b1d,3,0.3322841039792031,2.828476905822754,True
b33e,2,-0.73422843112273,2.828476905822754,True
b36b,2,1.3026856803875795,2.828476905822754,True
b25,3,1.5305755426806222,2.828476905822754,True
