tradition_oid,group_Berezkin,lat,lon,biome_wwf,ecoregion,bbox_half_deg_used,total_available_in_final_bbox,n_sampled
612.0,Punjabi,30.167709350585938,72.087890625,Deserts & Xeric Shrublands,Aravalli west thorn scrub forests,0.5,73,50
613.0,Papago,32.0,-113.0,Deserts & Xeric Shrublands,Sonoran desert,0.5,28023,50
614.0,"Li,Dong,Maonan",19.0,109.5,Tropical & Subtropical Moist Broadleaf Forests,Hainan Island monsoon rain forests,0.5,5259,50
615.0,Paresi,-15.0,-55.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Cerrado,0.5,4259,50
616.0,Parintintin,-9.0,-62.0,Tropical & Subtropical Moist Broadleaf Forests,Madeira-Tapajós moist forests,0.5,198,50
617.0,"Pasco,Junin,Huancavelica dep.",-11.441690444946289,-76.22870635986328,Montane Grasslands & Shrublands,Central Andean wet puna,0.5,5773,50
618.0,Pashto,33.0,67.0,Deserts & Xeric Shrublands,Central Afghan Mountains xeric woodlands,2.0,136,50
619.0,Pawnee,41.0,-99.0,"Temperate Grasslands, Savannas & Shrublands",Central-Southern US mixed grasslands,0.5,7451,50
620.0,"Paya,Sumu,Misquito",14.0,-85.0,Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,0.5,254,50
621.0,Pemon,6.0,-62.29999923706055,Tropical & Subtropical Moist Broadleaf Forests,Pantepui forests & shrublands,0.5,186,50
622.0,Persians,32.2333984375,54.087890625,Deserts & Xeric Shrublands,Central Persian desert basins,0.5,131,50
623.0,Piaroa,5.0,-67.5,Tropical & Subtropical Moist Broadleaf Forests,Guianan piedmont moist forests,0.5,123,50
624.0,Pima,32.79999923706055,-112.0,Deserts & Xeric Shrublands,Sonoran desert,0.5,21499,50
625.0,Pipil,13.5,-89.5,Tropical & Subtropical Dry Broadleaf Forests,Central American dry forests,0.5,24581,50
626.0,Piro,-12.0,-70.0,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests,0.5,3052,50
627.0,Plains Cree,54.0,-109.0,Boreal Forests/Taiga,Mid-Canada Boreal Plains forests,0.5,1682,50
628.0,Plains Ojibwa,49.5,-98.0,"Temperate Grasslands, Savannas & Shrublands",Northern Tallgrass prairie,0.5,5815,50
629.0,Polar Eskimo,77.5,-68.0,Tundra,Kalaallit Nunaat High Arctic tundra,1.0,346,50
630.0,Poles,52.0,21.0,Temperate Broadleaf & Mixed Forests,Central European mixed forests,0.5,94243,50
631.0,"Rennel,Tikopia,Bellona,Futuna(Erronan)",-11.600000381469727,160.0,Tropical & Subtropical Moist Broadleaf Forests,Solomon Islands rain forests,0.5,168,50
632.0,Pomo,38.962791442871094,-122.99459838867188,"Mediterranean Forests, Woodlands & Scrub",California interior chaparral and woodlands,0.5,175811,50
633.0,Ponape district,6.900000095367432,158.0,Tropical & Subtropical Moist Broadleaf Forests,Carolines tropical moist forests,0.5,1678,50
634.0,Tlapanec; Popoloca,17.5,-99.0,Tropical & Subtropical Coniferous Forests,Sierra Madre del Sur pine-oak forests,0.5,2794,50
636.0,Potawatomi,44.5,-85.0,Temperate Broadleaf & Mixed Forests,Western Great Lakes forests,0.5,25423,50
637.0,Prussians,54.5,20.399999618530273,Temperate Broadleaf & Mixed Forests,Central European mixed forests,0.5,84230,50
638.0,Puelche,-42.0,-67.5,"Temperate Grasslands, Savannas & Shrublands",Low Monte,1.0,141,50
639.0,Puinave,2.799999952316284,-68.5,Tropical & Subtropical Moist Broadleaf Forests,Negro-Branco moist forests,1.0,572,50
640.0,Qwapaw,33.29999923706055,-91.4000015258789,Temperate Broadleaf & Mixed Forests,Mississippi lowland forests,0.5,6894,50
641.0,Queensland,-17.0,143.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Carpentaria tropical savanna,1.0,122,50
642.0,"Quiche,Pocomam",15.0,-91.0,Tropical & Subtropical Coniferous Forests,Central American pine-oak forests,0.5,20700,50
643.0,"Quileute, Chemakum",47.599998474121094,-124.0,Temperate Conifer Forests,Central Pacific Northwest coastal forests,0.5,52212,50
644.0,Quinault,47.20000076293945,-124.0,Temperate Conifer Forests,Central Pacific Northwest coastal forests,0.5,30423,50
645.0,Rajasthani,27.0,75.0,Tropical & Subtropical Dry Broadleaf Forests,Khathiar-Gir dry deciduous forests,0.5,1489,50
646.0,"Rama,Guatuso",10.699999809265137,-84.5,Tropical & Subtropical Moist Broadleaf Forests,Isthmian-Atlantic moist forests,0.5,234669,50
647.0,"Rawang, Anong, Drung",28.0,98.0,Montane Grasslands & Shrublands,Eastern Himalayan alpine shrub and meadows,0.5,350,50
648.0,"Berber (Morocco,SW Algeria)",33.54750061035156,-5.0,"Mediterranean Forests, Woodlands & Scrub",Mediterranean woodlands and forests,0.5,3899,50
649.0,Reindeer Koryak,63.0,165.0,Tundra,Russian Bering tundra,1.0,139,50
650.0,Rikbaktsa,-13.0,-57.0,Tropical & Subtropical Moist Broadleaf Forests,Mato Grosso tropical dry forests,0.5,406,50
651.0,Romanians,44.45259094238281,26.121089935302734,Temperate Broadleaf & Mixed Forests,Central European mixed forests,0.5,22895,50
652.0,Romansh,46.599998474121094,9.600000381469727,Temperate Conifer Forests,Alps conifer and mixed forests,0.5,70791,50
653.0,Roti,-10.899999618530273,123.0,Tropical & Subtropical Dry Broadleaf Forests,Timor and Wetar deciduous forests,0.5,615,50
654.0,Rotuma,-12.300000190734863,177.1999969482422,Tropical & Subtropical Moist Broadleaf Forests,Fiji tropical moist forests,5.0,21983,50
655.0,"Shughni,Rushani,Khufi,Bartangi",38.0,72.0,Montane Grasslands & Shrublands,Pamir alpine desert and tundra,0.5,210,50
656.0,Russians,54.452919006347656,37.099609375,Temperate Broadleaf & Mixed Forests,East European forest steppe,0.5,104718,50
657.0,"Rutul, Tsahur",41.599998474121094,47.20000076293945,Temperate Broadleaf & Mixed Forests,Caucasus mixed forests,0.5,2497,50
658.0,"Rwanda,Shi,Rundi",-3.0,29.0,Tropical & Subtropical Moist Broadleaf Forests,Albertine Rift montane forests,0.5,1375,50
659.0,"Ngonde,Safwa.Mkulwe,Kinga",-9.0,33.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Central Zambezian wet miombo woodlands,0.5,184,50
660.0,"Saho, Afar",13.0,41.0,Deserts & Xeric Shrublands,Djibouti xeric shrublands,1.0,79,50
661.0,Torres Strait Islands,-10.0,142.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Cape York Peninsula tropical savanna,0.5,772,50
662.0,Sakata,-3.4000000953674316,18.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Southern Congolian forest-savanna,2.0,116,50
