taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,20,78,469,-0.002294955076649785,0.987
Amphibia,Deserts & Xeric Shrublands,34,20,527,-0.002762913820333779,0.921
Amphibia,"Mediterranean Forests, Woodlands & Scrub",27,21,526,0.0002824726980179548,0.398
Amphibia,Montane Grasslands & Shrublands,11,5,542,-0.0023254710249602795,0.761
Amphibia,Temperate Broadleaf & Mixed Forests,87,154,393,-0.001287854349357076,0.965
Amphibia,Temperate Conifer Forests,59,53,494,-0.00045480416156351566,0.662
Amphibia,"Temperate Grasslands, Savannas & Shrublands",37,43,504,0.0004095454642083496,0.362
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,542,0.00943841296248138,0.015
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",103,82,465,0.0012828303006244823,0.081
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,460,196,351,0.0017629808717174456,0.006
Amphibia,Tundra,6,43,504,-0.00042360182851552963,0.597
Actinopterygii,Boreal Forests/Taiga,55,78,469,-0.00034277804661542177,0.607
Actinopterygii,Deserts & Xeric Shrublands,71,20,527,0.003911965526640415,0.023
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,21,526,-0.0013633877970278263,0.732
Actinopterygii,Temperate Broadleaf & Mixed Forests,43,154,393,-0.00014656130224466324,0.581
Actinopterygii,Temperate Conifer Forests,27,53,494,0.0014391178265213966,0.1
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",28,43,504,-0.00044842902570962906,0.66
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",84,82,465,-0.0010847802041098475,0.861
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,1009,196,351,-0.0007586702704429626,0.824
Actinopterygii,Tundra,25,43,504,0.0010009226389229298,0.242
Insecta,Boreal Forests/Taiga,344,78,469,0.000568220391869545,0.182
Insecta,Deserts & Xeric Shrublands,464,20,527,-0.0002533947117626667,0.599
Insecta,"Mediterranean Forests, Woodlands & Scrub",376,21,526,0.0006701750680804253,0.247
Insecta,Montane Grasslands & Shrublands,254,5,542,-0.0006234911270439625,0.569
Insecta,Temperate Broadleaf & Mixed Forests,1382,154,393,8.471822366118431e-05,0.419
Insecta,Temperate Conifer Forests,484,53,494,-0.00042760424548760056,0.757
Insecta,"Temperate Grasslands, Savannas & Shrublands",633,43,504,5.499133840203285e-05,0.477
Insecta,Tropical & Subtropical Coniferous Forests,271,5,542,-0.0009916838898789138,0.657
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",874,82,465,0.0003480298910290003,0.253
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3973,196,351,0.00018122303299605846,0.341
Insecta,Tundra,81,43,504,0.00029706256464123726,0.349
Arachnida,Boreal Forests/Taiga,14,78,469,0.0013375189155340195,0.063
Arachnida,Deserts & Xeric Shrublands,55,20,527,-0.0014914274215698242,0.797
Arachnida,"Mediterranean Forests, Woodlands & Scrub",39,21,526,0.0007732696831226349,0.316
Arachnida,Temperate Broadleaf & Mixed Forests,100,154,393,-0.0013656076043844223,0.977
Arachnida,Temperate Conifer Forests,23,53,494,-0.0019394010305404663,0.931
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,43,504,-0.00010991748422384262,0.538
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,542,0.0017013689503073692,0.316
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,82,465,0.0010662805289030075,0.132
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,345,196,351,0.0018185656517744064,0.003
Mollusca,Boreal Forests/Taiga,10,78,469,0.001427975483238697,0.093
Mollusca,Deserts & Xeric Shrublands,25,20,527,0.0016229748725891113,0.179
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,21,526,0.0008837273344397545,0.251
Mollusca,Temperate Broadleaf & Mixed Forests,52,154,393,-0.00034373439848423004,0.701
Mollusca,Temperate Conifer Forests,70,53,494,-0.000604923814535141,0.724
Mollusca,"Temperate Grasslands, Savannas & Shrublands",19,43,504,0.0011323671787977219,0.177
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,-0.0008145272731781006,0.787
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,250,196,351,0.000257137231528759,0.346
Mollusca,Tundra,9,43,504,-0.0003954526036977768,0.629
