biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Tropical & Subtropical Moist Broadleaf Forests,149,172,302,0.003881898708641529,0.0
"Mediterranean Forests, Woodlands & Scrub",200,19,455,0.0030550367664545774,0.038
Deserts & Xeric Shrublands,200,18,456,0.002461313735693693,0.039
Tundra,72,34,440,0.0019137472845613956,0.048
"Temperate Grasslands, Savannas & Shrublands",200,38,436,0.001490630442276597,0.058
Boreal Forests/Taiga,188,68,406,0.0005447398871183395,0.271
Temperate Broadleaf & Mixed Forests,115,132,342,0.0004668469773605466,0.201
Montane Grasslands & Shrublands,143,5,469,-0.003714136779308319,0.907
