taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,20,78,469,0.00045637902803719044,0.343
Amphibia,Deserts & Xeric Shrublands,34,20,527,0.0015849731862545013,0.213
Amphibia,"Mediterranean Forests, Woodlands & Scrub",27,21,526,-0.00047523558896500617,0.584
Amphibia,Montane Grasslands & Shrublands,11,5,542,-0.0030428252648562193,0.766
Amphibia,Temperate Broadleaf & Mixed Forests,87,154,393,-0.001058779889717698,0.891
Amphibia,Temperate Conifer Forests,59,53,494,-0.00035879703318641987,0.612
Amphibia,"Temperate Grasslands, Savannas & Shrublands",37,43,504,-0.001489905349444598,0.868
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,542,-0.0012907434720546007,0.633
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",103,82,465,0.0009771138429641724,0.169
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,460,196,351,0.0028609109576791525,0.001
Amphibia,Tundra,6,43,504,0.0043047667713835835,0.01
Actinopterygii,Boreal Forests/Taiga,55,78,469,0.003152742050588131,0.031
Actinopterygii,Deserts & Xeric Shrublands,71,20,527,-0.0013775515835732222,0.663
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,21,526,-0.0010007843375205994,0.662
Actinopterygii,Temperate Broadleaf & Mixed Forests,43,154,393,-0.001842906465753913,0.944
Actinopterygii,Temperate Conifer Forests,27,53,494,0.0017153424705611542,0.158
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",28,43,504,-0.003833318827673793,0.972
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",84,82,465,0.0007866094820201397,0.29
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,1009,196,351,0.0011545995948836207,0.153
Actinopterygii,Tundra,25,43,504,0.00864541344344616,0.0
Insecta,Boreal Forests/Taiga,344,78,469,0.0017494875937700272,0.003
Insecta,Deserts & Xeric Shrublands,464,20,527,0.0007416172884404659,0.255
Insecta,"Mediterranean Forests, Woodlands & Scrub",376,21,526,0.0007130233570933342,0.243
Insecta,Montane Grasslands & Shrublands,254,5,542,0.0001964080147445202,0.443
Insecta,Temperate Broadleaf & Mixed Forests,1382,154,393,-0.0003665285184979439,0.775
Insecta,Temperate Conifer Forests,484,53,494,0.0011006853310391307,0.063
Insecta,"Temperate Grasslands, Savannas & Shrublands",633,43,504,0.0008585709147155285,0.136
Insecta,Tropical & Subtropical Coniferous Forests,271,5,542,-0.0029998647805768996,0.926
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",874,82,465,0.00020806421525776386,0.356
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3973,196,351,0.00026817992329597473,0.26
Insecta,Tundra,81,43,504,0.001644620904698968,0.038
Arachnida,Boreal Forests/Taiga,14,78,469,0.0010870248079299927,0.152
Arachnida,Deserts & Xeric Shrublands,55,20,527,0.0009903963655233383,0.319
Arachnida,"Mediterranean Forests, Woodlands & Scrub",39,21,526,0.0002040464896708727,0.43
Arachnida,Temperate Broadleaf & Mixed Forests,100,154,393,-0.0012849080376327038,0.952
Arachnida,Temperate Conifer Forests,23,53,494,0.0007381965406239033,0.282
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,43,504,0.0005634245462715626,0.333
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,542,-0.006291057216003537,0.962
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,82,465,0.0011820392683148384,0.134
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,345,196,351,0.0016801655292510986,0.01
Mollusca,Boreal Forests/Taiga,10,78,469,0.000316019169986248,0.411
Mollusca,Deserts & Xeric Shrublands,25,20,527,-0.0018858798721339554,0.846
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,21,526,-0.0020424523390829563,0.905
Mollusca,Temperate Broadleaf & Mixed Forests,52,154,393,-0.00010413292329758406,0.583
Mollusca,Temperate Conifer Forests,70,53,494,0.0019152192398905754,0.039
Mollusca,"Temperate Grasslands, Savannas & Shrublands",19,43,504,-0.0009827856556512415,0.793
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,-0.0008788068080320954,0.767
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,250,196,351,0.0012648147530853748,0.056
Mollusca,Tundra,9,43,504,0.004627113929018378,0.002
