taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,20,78,469,0.0013038408942520618,0.232
Amphibia,Deserts & Xeric Shrublands,34,20,527,-0.004059010534547269,0.862
Amphibia,"Mediterranean Forests, Woodlands & Scrub",27,21,526,-0.004182332661002874,0.914
Amphibia,Montane Grasslands & Shrublands,11,5,542,-0.002533851540647447,0.644
Amphibia,Temperate Broadleaf & Mixed Forests,87,154,393,-0.002706715138629079,0.979
Amphibia,Temperate Conifer Forests,59,53,494,-0.0020344353979453444,0.844
Amphibia,"Temperate Grasslands, Savannas & Shrublands",37,43,504,-0.0014461781829595566,0.745
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,542,-0.0018912646919488907,0.618
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",103,82,465,0.0017668681684881449,0.167
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,460,196,351,0.007479252381017432,0.0
Amphibia,Tundra,6,43,504,0.0008188348729163408,0.362
Actinopterygii,Boreal Forests/Taiga,55,78,469,0.010584177449345589,0.0
Actinopterygii,Deserts & Xeric Shrublands,71,20,527,-0.00313736405223608,0.777
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,21,526,-0.0019629495218396187,0.691
Actinopterygii,Temperate Broadleaf & Mixed Forests,43,154,393,-0.001037526410073042,0.737
Actinopterygii,Temperate Conifer Forests,27,53,494,0.003216587472707033,0.1
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",28,43,504,-0.002846967428922653,0.851
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",84,82,465,0.0024674602318555117,0.112
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,1009,196,351,0.0012234123423695564,0.183
Actinopterygii,Tundra,25,43,504,0.00820432067848742,0.005
Insecta,Boreal Forests/Taiga,344,78,469,0.0020029980514664203,0.018
Insecta,Deserts & Xeric Shrublands,464,20,527,0.0008732322603464127,0.263
Insecta,"Mediterranean Forests, Woodlands & Scrub",376,21,526,0.0012348185991868377,0.208
Insecta,Montane Grasslands & Shrublands,254,5,542,-0.0030709768179804087,0.809
Insecta,Temperate Broadleaf & Mixed Forests,1382,154,393,0.0009751669131219387,0.075
Insecta,Temperate Conifer Forests,484,53,494,-0.0005853250622749329,0.737
Insecta,"Temperate Grasslands, Savannas & Shrublands",633,43,504,0.0002908147289417684,0.411
Insecta,Tropical & Subtropical Coniferous Forests,271,5,542,0.0018679280765354633,0.235
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",874,82,465,0.0008281657937914133,0.154
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3973,196,351,0.00104813976213336,0.046
Insecta,Tundra,81,43,504,0.0016739813145250082,0.092
Arachnida,Boreal Forests/Taiga,14,78,469,-0.002533460152335465,0.959
Arachnida,Deserts & Xeric Shrublands,55,20,527,0.0016127529088407755,0.272
Arachnida,"Mediterranean Forests, Woodlands & Scrub",39,21,526,0.0004993150942027569,0.424
Arachnida,Temperate Broadleaf & Mixed Forests,100,154,393,0.0004122130339965224,0.352
Arachnida,Temperate Conifer Forests,23,53,494,-0.0006626127615163568,0.652
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,43,504,0.0029595574596896768,0.058
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,542,0.0041494108736515045,0.218
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,82,465,0.003173020202666521,0.015
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,345,196,351,0.002335844561457634,0.018
Mollusca,Boreal Forests/Taiga,10,78,469,0.002288173884153366,0.106
Mollusca,Deserts & Xeric Shrublands,25,20,527,-0.0017583633307367563,0.718
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,21,526,0.0012314722407609224,0.319
Mollusca,Temperate Broadleaf & Mixed Forests,52,154,393,-0.0013750491198152304,0.905
Mollusca,Temperate Conifer Forests,70,53,494,-0.00014957156963646412,0.502
Mollusca,"Temperate Grasslands, Savannas & Shrublands",19,43,504,-0.002462047850713134,0.906
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,0.0015846476599108428,0.171
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,250,196,351,0.0029598542023450136,0.004
Mollusca,Tundra,9,43,504,0.0025736994575709105,0.141
