biome,taxon_group,delta,p_one_sided,n_imgs,n_mot
"Temperate Grasslands, Savannas & Shrublands",Reptilia,0.0006072157993912697,0.049,95,1284
"Temperate Grasslands, Savannas & Shrublands",Amphibia,4.5025255531072617e-05,0.466,35,1284
"Temperate Grasslands, Savannas & Shrublands",Actinopterygii,-0.0007375646382570267,0.938,14,1284
"Temperate Grasslands, Savannas & Shrublands",Insecta,0.00010098610073328018,0.254,590,1284
"Temperate Grasslands, Savannas & Shrublands",Arachnida,0.000495056388899684,0.044,47,1284
"Temperate Grasslands, Savannas & Shrublands",Mollusca,5.513383075594902e-05,0.437,16,1284
Tropical & Subtropical Coniferous Forests,all,-3.077090877923183e-05,0.637,1085,466
Tropical & Subtropical Coniferous Forests,Plantae,0.0001911234576255083,0.283,369,466
Tropical & Subtropical Coniferous Forests,Fungi,9.483145549893379e-05,0.393,26,466
Tropical & Subtropical Coniferous Forests,Mammalia,-0.0008007893338799477,0.942,25,466
Tropical & Subtropical Coniferous Forests,Aves,-0.0007849601097404957,0.961,334,466
Tropical & Subtropical Coniferous Forests,Reptilia,0.0009727231226861477,0.031,41,466
Tropical & Subtropical Coniferous Forests,Amphibia,0.001401020446792245,0.0,11,466
Tropical & Subtropical Coniferous Forests,Insecta,0.0004220301634632051,0.012,265,466
Tropical & Subtropical Coniferous Forests,Arachnida,0.0005436418578028679,0.047,11,466
Tropical & Subtropical Dry Broadleaf Forests,all,0.00026964652352035046,0.0,2048,750
Tropical & Subtropical Dry Broadleaf Forests,Plantae,0.0011391607113182545,0.0,449,750
Tropical & Subtropical Dry Broadleaf Forests,Animalia,0.00038237636908888817,0.161,27,750
Tropical & Subtropical Dry Broadleaf Forests,Mammalia,0.0002149594947695732,0.338,89,750
Tropical & Subtropical Dry Broadleaf Forests,Aves,-0.00107252923771739,0.999,588,750
Tropical & Subtropical Dry Broadleaf Forests,Reptilia,0.0012241387739777565,0.004,118,750
Tropical & Subtropical Dry Broadleaf Forests,Amphibia,0.000843715388327837,0.015,46,750
Tropical & Subtropical Dry Broadleaf Forests,Actinopterygii,-3.154575824737549e-05,0.534,78,750
Tropical & Subtropical Dry Broadleaf Forests,Insecta,0.0007435381412506104,0.0,579,750
Tropical & Subtropical Dry Broadleaf Forests,Arachnida,0.0002978856209665537,0.155,41,750
Tropical & Subtropical Dry Broadleaf Forests,Mollusca,0.0006548294331878424,0.034,25,750
"Tropical & Subtropical Grasslands, Savannas & Shrublands",all,0.0004295909311622381,0.001,5333,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Plantae,0.0006808402249589562,0.011,1050,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Fungi,0.0011421977542340755,0.0,23,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Animalia,0.00034068006789311767,0.198,14,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Mammalia,0.00048143230378627777,0.162,602,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Aves,5.538575351238251e-05,0.451,2287,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Reptilia,0.001722819171845913,0.0,328,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Amphibia,0.0019207766745239496,0.0,102,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Actinopterygii,9.756302461028099e-05,0.42,36,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Insecta,0.0004290458746254444,0.005,808,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Arachnida,0.0002858684165403247,0.143,68,955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",Mollusca,-0.00013509346172213554,0.639,15,955
Tropical & Subtropical Moist Broadleaf Forests,all,0.0007325364276766777,0.0,12376,1397
Tropical & Subtropical Moist Broadleaf Forests,Plantae,0.001695342012681067,0.0,2567,1397
Tropical & Subtropical Moist Broadleaf Forests,Fungi,0.0014208974316716194,0.0,90,1397
Tropical & Subtropical Moist Broadleaf Forests,Animalia,0.0009600543417036533,0.005,144,1397
Tropical & Subtropical Moist Broadleaf Forests,Mammalia,-0.0002726605162024498,0.716,569,1397
Tropical & Subtropical Moist Broadleaf Forests,Aves,-0.0005532074719667435,0.929,3281,1397
Tropical & Subtropical Moist Broadleaf Forests,Reptilia,0.0018635625019669533,0.0,882,1397
Tropical & Subtropical Moist Broadleaf Forests,Amphibia,0.002406636718660593,0.0,443,1397
Tropical & Subtropical Moist Broadleaf Forests,Actinopterygii,4.140567034482956e-05,0.484,280,1397
Tropical & Subtropical Moist Broadleaf Forests,Insecta,0.0008778126793913543,0.0,3681,1397
Tropical & Subtropical Moist Broadleaf Forests,Arachnida,0.0012122744228690863,0.0,329,1397
Tropical & Subtropical Moist Broadleaf Forests,Mollusca,0.0005719086620956659,0.037,106,1397
Tundra,all,6.96275383234024e-05,0.328,1623,834
Tundra,Plantae,-0.0004420960322022438,0.93,1074,834
Tundra,Fungi,-0.0005731163546442986,0.981,56,834
Tundra,Mammalia,0.0010190564207732677,0.019,97,834
Tundra,Aves,0.0017479317029938102,0.0,294,834
Tundra,Insecta,3.198394551873207e-05,0.422,77,834
