taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,19,41,353,-0.0008437861688435078,0.593
Amphibia,Deserts & Xeric Shrublands,33,15,379,-0.003313052002340555,0.772
Amphibia,"Mediterranean Forests, Woodlands & Scrub",26,15,379,-0.002041093073785305,0.698
Amphibia,Montane Grasslands & Shrublands,11,5,389,-0.0033691691933199763,0.651
Amphibia,Temperate Broadleaf & Mixed Forests,83,100,294,-0.0031848882790654898,0.975
Amphibia,Temperate Conifer Forests,57,39,355,-0.004853805585298687,0.956
Amphibia,"Temperate Grasslands, Savannas & Shrublands",36,32,362,-0.0014050053432583809,0.684
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,389,-0.0020589610503520817,0.608
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",102,63,331,0.002116462215781212,0.156
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,451,155,239,0.0056378343142569065,0.0
Amphibia,Tundra,6,22,372,-0.0021078067366033792,0.723
Actinopterygii,Boreal Forests/Taiga,31,41,353,0.010445732390508056,0.0
Actinopterygii,Deserts & Xeric Shrublands,50,15,379,-0.003992616198956966,0.837
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,15,379,-0.0028861751779913902,0.703
Actinopterygii,Temperate Broadleaf & Mixed Forests,19,100,294,-0.003422922920435667,0.957
Actinopterygii,Temperate Conifer Forests,18,39,355,-0.0002169678919017315,0.504
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",14,32,362,-0.005154463462531567,0.947
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",49,63,331,0.0012055160477757454,0.288
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,918,155,239,0.0013343049213290215,0.184
Actinopterygii,Tundra,12,22,372,0.0065613314509391785,0.06
Insecta,Boreal Forests/Taiga,298,41,353,-0.000738250557333231,0.719
Insecta,Deserts & Xeric Shrublands,440,15,379,0.0003305173013359308,0.398
Insecta,"Mediterranean Forests, Woodlands & Scrub",361,15,379,-0.0018659541965462267,0.835
Insecta,Montane Grasslands & Shrublands,232,5,389,-0.0031232075998559594,0.826
Insecta,Temperate Broadleaf & Mixed Forests,1324,100,294,5.7407713029533625e-05,0.479
Insecta,Temperate Conifer Forests,456,39,355,-0.0008734613656997681,0.777
Insecta,"Temperate Grasslands, Savannas & Shrublands",592,32,362,0.0008343879017047584,0.266
Insecta,Tropical & Subtropical Coniferous Forests,265,5,389,0.0028061391785740852,0.149
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",810,63,331,0.0010893279686570168,0.157
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3741,155,239,0.0014714996796101332,0.022
Insecta,Tundra,79,22,372,0.0010495481546968222,0.272
Arachnida,Boreal Forests/Taiga,13,41,353,-0.004205492208711803,0.988
Arachnida,Deserts & Xeric Shrublands,54,15,379,0.0016772940289229155,0.311
