taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,19,49,388,-0.0018451635260134935,0.866
Amphibia,Deserts & Xeric Shrublands,33,16,421,-0.0003038295544683933,0.524
Amphibia,"Mediterranean Forests, Woodlands & Scrub",26,16,421,-0.0017879733350127935,0.731
Amphibia,Montane Grasslands & Shrublands,11,5,432,-0.0030203749774955213,0.746
Amphibia,Temperate Broadleaf & Mixed Forests,83,116,321,-0.0026853480376303196,0.989
Amphibia,Temperate Conifer Forests,57,45,392,-0.0009874611860141158,0.711
Amphibia,"Temperate Grasslands, Savannas & Shrublands",36,33,404,-0.002531455480493605,0.911
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,432,-0.0030257445396273397,0.737
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",102,67,370,0.0026226919144392014,0.04
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,451,166,271,0.005136304534971714,0.0
Amphibia,Tundra,6,27,410,0.0023286971263587475,0.194
Actinopterygii,Boreal Forests/Taiga,31,49,388,0.0023987488821148872,0.134
Actinopterygii,Deserts & Xeric Shrublands,50,16,421,-0.00150979682803154,0.619
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,16,421,-0.004770452389493585,0.887
Actinopterygii,Temperate Broadleaf & Mixed Forests,19,116,321,-0.003033682471141219,0.985
Actinopterygii,Temperate Conifer Forests,18,45,392,0.002433669287711382,0.164
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",14,33,404,-0.00464170242594264,0.966
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",49,67,370,0.0027992036193609238,0.083
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,918,166,271,0.0018788466695696115,0.116
Actinopterygii,Tundra,12,27,410,0.007157864049077034,0.009
Insecta,Boreal Forests/Taiga,298,49,388,0.0018544462509453297,0.054
Insecta,Deserts & Xeric Shrublands,440,16,421,-0.0012647719122469425,0.738
Insecta,"Mediterranean Forests, Woodlands & Scrub",361,16,421,-0.000748123973608017,0.614
Insecta,Montane Grasslands & Shrublands,232,5,432,-0.00036693038418889046,0.512
Insecta,Temperate Broadleaf & Mixed Forests,1324,116,321,0.00043906504288315773,0.287
Insecta,Temperate Conifer Forests,456,45,392,0.00012395682279020548,0.432
Insecta,"Temperate Grasslands, Savannas & Shrublands",592,33,404,-0.0006885688635520637,0.739
Insecta,Tropical & Subtropical Coniferous Forests,265,5,432,-0.0014721956686116755,0.673
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",810,67,370,-0.00018449011258780956,0.576
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3741,166,271,0.0010557017521932721,0.055
Insecta,Tundra,79,27,410,0.001133965328335762,0.221
Arachnida,Boreal Forests/Taiga,13,49,388,0.0008421242237091064,0.253
Arachnida,Deserts & Xeric Shrublands,54,16,421,-0.00454143388196826,0.964
Arachnida,"Mediterranean Forests, Woodlands & Scrub",38,16,421,-0.0016129981959238648,0.709
Arachnida,Temperate Broadleaf & Mixed Forests,97,116,321,-0.00027624028734862804,0.606
Arachnida,Temperate Conifer Forests,22,45,392,-0.0012447875924408436,0.768
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,33,404,-0.00011772248581110034,0.538
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,432,-0.002099488687235862,0.653
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,67,370,-0.0006047263741493225,0.657
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,340,166,271,0.0030798534862697124,0.0
Mollusca,Boreal Forests/Taiga,10,49,388,-0.0008474681526422501,0.692
Mollusca,Deserts & Xeric Shrublands,24,16,421,-0.003312471089884639,0.868
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,16,421,-0.0011819533538073301,0.651
Mollusca,Temperate Broadleaf & Mixed Forests,49,116,321,-0.0006698968354612589,0.746
Mollusca,Temperate Conifer Forests,67,45,392,0.0007486343383789062,0.329
Mollusca,"Temperate Grasslands, Savannas & Shrublands",18,33,404,-0.0016209729237743886,0.855
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,67,370,-0.0011431071325205266,0.767
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,230,166,271,0.0024720346555113792,0.031
Mollusca,Tundra,9,27,410,0.00272369128651917,0.154
