motif_id,ru_hits,en_hits
h16,тундрам,
h18,степи | степь | тайге | тайгу | тундру,
h18b,саванну,
h19,степь,
h1a,прерия,
h20,саванну | тундру,
h21a,саванну,
h22a,тайгу,
h24,прерию | пустыне,
h24b,саванна,
h24c,саванны,
h24e,пустыне,
h27,степь,
h27a,степь,
h28,степи | степь | тайгу,
h31,саванне,
h34a,прерия,
h34b,прерия,
h34e,,snow
h34f,тропическая,
h36,саванне,
h36a,саванне,
h36c,саванне,
h37,степные,
h37a,степные,
h4,саваннах,
h40,степь,
h41,степь | тайге,
h42,степь,
h43a,пустыни,
h43aa,степь,
h45,степь,
h46,степь,
h46a,степь,
h48,саванну | степь,
h49,пустыни | степи,
h49c,пустыне | пустыни | степи,
h49d,пустыне,
h5,саваннах,
h52,степь,
h54,айсбергом | леднике | пустыню | степи | тайги | тайгу,
h55,пустынной | степь,
h6a,степного,
h6b,степи,
h6c,степи | степь,
h7,саваннах | степи | степь | тундре,
h7e,степь,
h9,степного,
i1,ледника | степные | тундровых | тундрой,
i103,оазис,
i11,ледники,
i114,степной,
i115a,пустыня,
i117,саванне,
i12,пустыни | тайги,
i121,арктический,
i134,средиземноморье,
i13a,пустыни | степные,
i13d,пустыне,
i14,пустынь,
i15,степь,
i2,степные,
i22,айсберга | прерии | пустыне | пустынь,
i22b,степь,
i25,пустыне | пустыню | степь | яранге | яранги,
i25a,пустыне | степь,
i27,степях,
i27c,тайге,
i28,вельде | степь | тайги,
i3,саванну | степи,
i34,саванна,
i35a1,пустыня,
i35b,мерзлоты,
i38,пустыне | тайге,
i38a,пустыне,
i39,степи,
i4,пустыни | тундровые,
i41,степной,
i43a,саванны,
i43b,саванны,
i46,степные,
i47a,средиземноморский,
i4a,степи,
i5,степи,
i50,ледника | степи,
i50a,степи,
i50b,ледника,
i51a,пустыне,
i51b,пустыню,
i52,ледников,
i55,тундровые,
i55b,тайги,
i59b4,,snow
i6,пустыни | степь,
i62,оазис,
i7,пустынь,
i72,степные,
i76a,степи,
i81,пустынь,
i82a,саванна | тундровые,
i82b,оазис | тундровые,
i82d,тундровые,
i83,саванна,
i84,тайге,snow
i84a,,frozen | snow
