taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,20,78,469,0.0007694680243730545,0.159
Amphibia,Deserts & Xeric Shrublands,34,20,527,-0.0021954835392534733,0.943
Amphibia,"Mediterranean Forests, Woodlands & Scrub",27,21,526,-0.0011853702744701877,0.846
Amphibia,Montane Grasslands & Shrublands,11,5,542,-0.0072321295738220215,0.996
Amphibia,Temperate Broadleaf & Mixed Forests,87,154,393,-0.00022521638311445713,0.667
Amphibia,Temperate Conifer Forests,59,53,494,0.0004668181645683944,0.317
Amphibia,"Temperate Grasslands, Savannas & Shrublands",37,43,504,0.0002568524796515703,0.393
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,542,-0.0042335528414696455,0.977
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",103,82,465,0.0006973305717110634,0.163
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,460,196,351,0.004396873759105802,0.0
Amphibia,Tundra,6,43,504,0.001936105138156563,0.069
Actinopterygii,Boreal Forests/Taiga,55,78,469,0.004912164062261581,0.001
Actinopterygii,Deserts & Xeric Shrublands,71,20,527,-0.0014608062338083982,0.812
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,21,526,0.0011676447466015816,0.279
Actinopterygii,Temperate Broadleaf & Mixed Forests,43,154,393,-0.0009259881189791486,0.898
Actinopterygii,Temperate Conifer Forests,27,53,494,0.0037390008801594377,0.002
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",28,43,504,-0.00043326104059815407,0.61
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",84,82,465,-0.0005035223439335823,0.702
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,1009,196,351,0.001259588563698344,0.043
Actinopterygii,Tundra,25,43,504,0.0062298234552145,0.0
Insecta,Boreal Forests/Taiga,344,78,469,0.0014423602260649204,0.001
Insecta,Deserts & Xeric Shrublands,464,20,527,-0.00013126712292432785,0.573
Insecta,"Mediterranean Forests, Woodlands & Scrub",376,21,526,0.0007405648939311504,0.133
Insecta,Montane Grasslands & Shrublands,254,5,542,-0.00019180262461304665,0.542
Insecta,Temperate Broadleaf & Mixed Forests,1382,154,393,0.0008471808396279812,0.002
Insecta,Temperate Conifer Forests,484,53,494,0.0006372763309627771,0.07
Insecta,"Temperate Grasslands, Savannas & Shrublands",633,43,504,0.0006928481161594391,0.09
Insecta,Tropical & Subtropical Coniferous Forests,271,5,542,0.00024050907450146042,0.38
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",874,82,465,0.0002908497117459774,0.221
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3973,196,351,0.0009265618864446878,0.001
Insecta,Tundra,81,43,504,0.002563664223998785,0.0
Arachnida,Boreal Forests/Taiga,14,78,469,-0.00045338086783885956,0.751
Arachnida,Deserts & Xeric Shrublands,55,20,527,-0.00036303140223026276,0.627
Arachnida,"Mediterranean Forests, Woodlands & Scrub",39,21,526,0.00019009620882570744,0.426
Arachnida,Temperate Broadleaf & Mixed Forests,100,154,393,-0.0005723410286009312,0.888
Arachnida,Temperate Conifer Forests,23,53,494,0.0008382340893149376,0.135
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,43,504,0.0018697226187214255,0.019
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,542,0.0006943140178918839,0.379
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,82,465,0.00041413307189941406,0.238
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,345,196,351,0.002784573473036289,0.0
Mollusca,Boreal Forests/Taiga,10,78,469,0.0013201371766626835,0.042
Mollusca,Deserts & Xeric Shrublands,25,20,527,-0.0016317731933668256,0.901
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,21,526,0.001087099313735962,0.158
Mollusca,Temperate Broadleaf & Mixed Forests,52,154,393,0.0007250479320646264,0.054
Mollusca,Temperate Conifer Forests,70,53,494,0.0021803903218824416,0.001
Mollusca,"Temperate Grasslands, Savannas & Shrublands",19,43,504,0.00012106780195608735,0.399
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,82,465,-0.0015374805661849678,0.981
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,250,196,351,0.0008129407651722431,0.084
Mollusca,Tundra,9,43,504,0.004267167532816529,0.0
