taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,19,68,406,-0.0014773993752896786,0.766
Amphibia,Deserts & Xeric Shrublands,33,18,456,-0.003329145023599267,0.798
Amphibia,"Mediterranean Forests, Woodlands & Scrub",26,19,455,-0.0012809750624001026,0.603
Amphibia,Montane Grasslands & Shrublands,11,5,469,-0.0029808140825480223,0.65
Amphibia,Temperate Broadleaf & Mixed Forests,83,132,342,-0.003206797642633319,0.981
Amphibia,Temperate Conifer Forests,57,41,433,-0.0036776241031475365,0.904
Amphibia,"Temperate Grasslands, Savannas & Shrublands",36,38,436,-0.0007478222250938416,0.599
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,469,-0.0013483013026416302,0.568
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",102,73,401,0.0029320428147912025,0.07
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,451,172,302,0.005412866594269872,0.0
Amphibia,Tundra,6,34,440,-0.0005712698912248015,0.579
Actinopterygii,Boreal Forests/Taiga,31,68,406,0.009204401867464185,0.001
Actinopterygii,Deserts & Xeric Shrublands,50,18,456,-0.003920956514775753,0.812
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,19,455,-0.003791055642068386,0.782
Actinopterygii,Temperate Broadleaf & Mixed Forests,19,132,342,-0.004417979085701518,0.991
Actinopterygii,Temperate Conifer Forests,18,41,433,0.0004963814280927181,0.413
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",14,38,436,-0.004301765933632851,0.904
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",49,73,401,0.0032157269306480885,0.084
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,918,172,302,0.000821111723780632,0.296
Actinopterygii,Tundra,12,34,440,0.007548045716248453,0.015
Insecta,Boreal Forests/Taiga,298,68,406,0.00013123382814228535,0.411
Insecta,Deserts & Xeric Shrublands,440,18,456,0.0005648320075124502,0.341
Insecta,"Mediterranean Forests, Woodlands & Scrub",361,19,455,-0.00018450641073286533,0.527
Insecta,Montane Grasslands & Shrublands,232,5,469,-0.0032718132133595645,0.854
Insecta,Temperate Broadleaf & Mixed Forests,1324,132,342,0.0006240374059416354,0.221
Insecta,Temperate Conifer Forests,456,41,433,-0.001264031365280971,0.872
Insecta,"Temperate Grasslands, Savannas & Shrublands",592,38,436,0.0005064189899712801,0.333
Insecta,Tropical & Subtropical Coniferous Forests,265,5,469,0.0025492955464869738,0.202
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",810,73,401,0.0005594959948211908,0.247
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3741,172,302,0.0010895461309701204,0.058
Insecta,Tundra,79,34,440,-2.268841490149498e-05,0.485
Arachnida,Boreal Forests/Taiga,13,68,406,-0.0030223228422983084,0.973
Arachnida,Deserts & Xeric Shrublands,54,18,456,0.0014360612258315086,0.321
Arachnida,"Mediterranean Forests, Woodlands & Scrub",38,19,455,-0.0001280175056308508,0.492
Arachnida,Temperate Broadleaf & Mixed Forests,97,132,342,0.0006540738395415246,0.276
Arachnida,Temperate Conifer Forests,22,41,433,-0.0022873997513670474,0.843
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,38,436,0.0016703297733329237,0.22
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,469,0.005918299430049956,0.151
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,73,401,0.0016873250715434551,0.164
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,340,172,302,0.0012642466463148594,0.124
Mollusca,Boreal Forests/Taiga,10,68,406,0.003208399284631014,0.064
Mollusca,Deserts & Xeric Shrublands,24,18,456,0.0008338224142789841,0.391
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,19,455,2.6745256036520004e-06,0.488
Mollusca,Temperate Broadleaf & Mixed Forests,49,132,342,-0.0021112271351739764,0.958
Mollusca,Temperate Conifer Forests,67,41,433,-0.0030943488236516714,0.942
Mollusca,"Temperate Grasslands, Savannas & Shrublands",18,38,436,-0.0015869464259594679,0.81
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,73,401,0.0012231584696564823,0.275
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,230,172,302,0.002793891355395317,0.016
Mollusca,Tundra,9,34,440,0.0015415687958011404,0.29
