biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Montane Grasslands & Shrublands,413,5,542,0.004452833629329689,0.051
Tundra,114,43,504,0.004286448238417506,0.0
Boreal Forests/Taiga,279,78,469,0.0033709798008203506,0.0
Deserts & Xeric Shrublands,637,20,527,0.0032919250370468944,0.005
Temperate Broadleaf & Mixed Forests,308,154,393,0.002310197101905942,0.0
Tropical & Subtropical Moist Broadleaf Forests,2314,196,351,0.0016690695192664862,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,82,465,0.0015624214429408312,0.008
"Mediterranean Forests, Woodlands & Scrub",292,21,526,0.0015315611381083727,0.069
Temperate Conifer Forests,211,53,494,0.0013376730494201183,0.029
Tropical & Subtropical Coniferous Forests,64,5,542,-0.00017949682660400867,0.526
"Temperate Grasslands, Savannas & Shrublands",403,43,504,-0.0003894816618412733,0.651
