taxon_group,biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Amphibia,Boreal Forests/Taiga,19,49,388,-0.00029610609635710716,0.591
Amphibia,Deserts & Xeric Shrublands,33,16,421,0.0036316574551165104,0.064
Amphibia,"Mediterranean Forests, Woodlands & Scrub",26,16,421,-0.0016807715874165297,0.777
Amphibia,Montane Grasslands & Shrublands,11,5,432,-0.0031189778819680214,0.783
Amphibia,Temperate Broadleaf & Mixed Forests,83,116,321,-0.002016873564571142,0.982
Amphibia,Temperate Conifer Forests,57,45,392,-0.001759546808898449,0.888
Amphibia,"Temperate Grasslands, Savannas & Shrublands",36,33,404,-0.0016813278198242188,0.863
Amphibia,Tropical & Subtropical Coniferous Forests,11,5,432,-0.0030233304714784026,0.797
Amphibia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",102,67,370,0.002525375224649906,0.021
Amphibia,Tropical & Subtropical Moist Broadleaf Forests,451,166,271,0.0032436675392091274,0.0
Amphibia,Tundra,6,27,410,0.003703542286530137,0.067
Actinopterygii,Boreal Forests/Taiga,31,49,388,0.003628108650445938,0.024
Actinopterygii,Deserts & Xeric Shrublands,50,16,421,0.0020265993662178516,0.225
Actinopterygii,"Mediterranean Forests, Woodlands & Scrub",9,16,421,-0.0018903061281889677,0.745
Actinopterygii,Temperate Broadleaf & Mixed Forests,19,116,321,-0.0015448122285306454,0.907
Actinopterygii,Temperate Conifer Forests,18,45,392,0.001388865988701582,0.199
Actinopterygii,"Temperate Grasslands, Savannas & Shrublands",14,33,404,-0.002910915674874559,0.921
Actinopterygii,"Tropical & Subtropical Grasslands, Savannas & Shrublands",49,67,370,0.0003315182402729988,0.43
Actinopterygii,Tropical & Subtropical Moist Broadleaf Forests,918,166,271,-0.0007191468539531343,0.773
Actinopterygii,Tundra,12,27,410,0.0056872498244047165,0.007
Insecta,Boreal Forests/Taiga,298,49,388,0.000447235070168972,0.309
Insecta,Deserts & Xeric Shrublands,440,16,421,-0.00031735608354210854,0.556
Insecta,"Mediterranean Forests, Woodlands & Scrub",361,16,421,-0.0005829362198710442,0.628
Insecta,Montane Grasslands & Shrublands,232,5,432,0.0035258233547210693,0.087
Insecta,Temperate Broadleaf & Mixed Forests,1324,116,321,-0.0008372967131435871,0.91
Insecta,Temperate Conifer Forests,456,45,392,-0.0007988670840859413,0.832
Insecta,"Temperate Grasslands, Savannas & Shrublands",592,33,404,-0.0012855157256126404,0.902
Insecta,Tropical & Subtropical Coniferous Forests,265,5,432,-0.00040676130447536707,0.573
Insecta,"Tropical & Subtropical Grasslands, Savannas & Shrublands",810,67,370,0.0017992728389799595,0.013
Insecta,Tropical & Subtropical Moist Broadleaf Forests,3741,166,271,0.0019133859314024448,0.0
Insecta,Tundra,79,27,410,0.0015758601948618889,0.121
Arachnida,Boreal Forests/Taiga,13,49,388,-0.0006397562101483345,0.687
Arachnida,Deserts & Xeric Shrublands,54,16,421,-0.0007828408852219582,0.637
Arachnida,"Mediterranean Forests, Woodlands & Scrub",38,16,421,-0.0022182468965183944,0.864
Arachnida,Temperate Broadleaf & Mixed Forests,97,116,321,-0.0011277091689407825,0.939
Arachnida,Temperate Conifer Forests,22,45,392,-0.0014956481754779816,0.838
Arachnida,"Temperate Grasslands, Savannas & Shrublands",48,33,404,-0.00011128047481179237,0.54
Arachnida,Tropical & Subtropical Coniferous Forests,11,5,432,-0.0021335786441341043,0.716
Arachnida,"Tropical & Subtropical Grasslands, Savannas & Shrublands",68,67,370,0.0023647863417863846,0.01
Arachnida,Tropical & Subtropical Moist Broadleaf Forests,340,166,271,0.002697673626244068,0.001
Mollusca,Boreal Forests/Taiga,10,49,388,0.00026679178699851036,0.436
Mollusca,Deserts & Xeric Shrublands,24,16,421,-0.0012435721000656486,0.708
Mollusca,"Mediterranean Forests, Woodlands & Scrub",49,16,421,-0.0007629124447703362,0.63
Mollusca,Temperate Broadleaf & Mixed Forests,49,116,321,-5.7629309594631195e-05,0.546
Mollusca,Temperate Conifer Forests,67,45,392,-0.001762727100867778,0.913
Mollusca,"Temperate Grasslands, Savannas & Shrublands",18,33,404,-0.0013404303172137588,0.857
Mollusca,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23,67,370,-0.0021709993670810945,0.941
Mollusca,Tropical & Subtropical Moist Broadleaf Forests,230,166,271,0.0012072445824742317,0.11
Mollusca,Tundra,9,27,410,0.0014030477032065392,0.265
