label,n,K,knn,probe,shuffled,lift,ari
biome,2158,12,0.4578313253012048,0.5023169601482854,0.3405931417979611,0.16172381835032434,0.016993336419949073
macro-area,2158,6,0.5732159406858202,0.6070435588507878,0.4986098239110287,0.10843373493975905,0.043801499434244634
taxon/content,2158,9,0.7622798887859129,0.7775718257645968,0.633920296570899,0.14365152919369784,0.07724181241224184
